Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
IEEE-CAA Journal of Automatica Sinica,IEEE-CAA J AUTOMATIC,2329-9266,2329-9274,AUTOMATION & CONTROL SYSTEMS - SCIE,4762,7.847,1.47,0%,7/65,7.214,Q1,7.118,3.927,11/82,Q1,87.2,0.007,1.536,1.389,90,Q1,Q1,150,90%,2.6,5.3,135
GEOJOURNAL,GEOJOURNAL,0343-2521,1572-9893,GEOGRAPHY - ESCI,4715,NA,0.92,9.14%,NA,NA,NA,NA,NA,46/167,Q2,72.75,0.003,0.586,0.448,NA,NA,Q1,278,97.12%,9,8.6,270
ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,ENTREP REGION DEV,0898-5626,1464-5114,BUSINESS - SSCI,4703,6.408,1.36,14.29%,51/154,7.113,Q2,5.932,0.967,58/296,Q1,80.57,0.003,0.66,1.406,67.21,Q2,Q2,30,96.67%,8.8,9.1,29
ENVIRONMENTAL CONSERVATION,ENVIRON CONSERV,0376-8929,1469-4387,BIODIVERSITY CONSERVATION - SCIE,4610,4.075,0.56,18.49%,15/65,3.882,Q2,4,0.872,36/70,Q3,49.29,0.002,0.439,1.061,77.69,Q1,Q1,39,84.62%,16.4,7.7,33
Education and Information Technologies,EDUC INF TECHNOL,1360-2357,1573-7608,EDUCATION & EDUCATIONAL RESEARCH - SSCI,4553,3.666,1.9,13.17%,62/270,3.605,Q2,3.187,0.99,61/743,Q1,91.86,0.006,1.25,0.615,77.22,Q1,Q3,406,94.09%,2.6,6.8,382
FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,FRACTALS,0218-348X,1793-6543,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE",4369,4.555,1.59,16.97%,10/108,3.861,Q1,3.184,3.078,9/132,Q1,93.56,0.003,0.617,0.5,91.2,Q1,Q3,307,100%,2.4,6.1,307
JMIR Public Health and Surveillance,JMIR PUBLIC HLTH SUR,2369-2960,2369-2960,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",4323,14.557,2.19,99.55%,10/210,NA,NA,14.035,1.462,17/392,Q1,95.79,0.01,2.056,NA,95.48,Q1,NA,247,95.55%,1.7,3.1,236
PRECISION AGRICULTURE,PRECIS AGRIC,1385-2256,1573-1618,"AGRICULTURE, MULTIDISCIPLINARY - SCIE",4267,5.767,2.32,20.37%,7/59,5.875,Q1,5.283,0.933,2/84,Q1,98.21,0.003,0.663,0.945,88.98,Q1,Q1,90,97.78%,6.2,7.8,88
Frontiers in Energy Research,FRONT ENERGY RES,2296-598X,2296-598X,ENERGY & FUELS - SCIE,4235,3.858,0.4,98.4%,75/119,4.597,Q3,3.606,0.485,99/145,Q3,32.07,0.005,1.04,0.764,37.39,Q3,Q3,880,89.2%,2.7,5.1,785
International Journal of Bank Marketing,INT J BANK MARK,0265-2323,1758-5937,BUSINESS - SSCI,4189,5.083,1,2.85%,76/154,5.706,Q2,4.071,1.064,87/296,Q2,70.78,0.002,0.432,0.605,50.97,Q2,Q3,78,97.44%,6,7.8,76
IEEE ROBOTICS & AUTOMATION MAGAZINE,IEEE ROBOT AUTOM MAG,1070-9932,1558-223X,AUTOMATION & CONTROL SYSTEMS - SCIE,4093,5.229,1.16,13.16%,18/65,5.75,Q1,5.071,1.023,18/82,Q1,78.66,0.003,0.541,1.354,73.08,Q2,Q1,44,97.73%,9.5,4.9,43
EURASIP Journal on Wireless Communications and Networking,EURASIP J WIREL COMM,1687-1472,1687-1499,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",4055,2.559,0.52,99.87%,147/276,1.912,Q3,2.502,0.636,185/344,Q3,46.37,0.005,1.015,0.372,46.92,Q3,Q3,198,94.95%,3.9,5.1,188
COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,COMPUT MED IMAG GRAP,0895-6111,1879-0771,"ENGINEERING, BIOMEDICAL - SCIE",3973,7.422,1.44,8.46%,15/98,6.141,Q1,7.016,1.008,17/115,Q1,85.65,0.003,0.735,1.185,85.2,Q1,Q1,132,96.97%,5.9,5,128
Buildings,BUILDINGS-BASEL,NA,2075-5309,CONSTRUCTION & BUILDING TECHNOLOGY - SCIE,3842,3.324,0.66,95.83%,28/68,3.354,Q2,2.835,0.843,32/89,Q2,64.61,0.003,0.686,0.405,59.56,Q2,Q3,649,90.45%,2.7,6.6,587
European Business Review,EUR BUS REV,0955-534X,1758-7107,BUSINESS - ESCI,3761,NA,1.07,0.68%,NA,NA,NA,NA,NA,77/296,Q2,74.16,0.003,0.6,1.318,NA,NA,Q1,29,96.55%,5.4,8.7,28
MARKETING LETTERS,MARKET LETT,0923-0645,1573-059X,BUSINESS - SSCI,3651,3.426,0.64,16.24%,108/154,3.732,Q3,3.368,0.796,146/296,Q2,50.84,0.002,0.436,1.003,30.19,Q3,Q2,49,100%,12.8,10.6,49
AMERICAN ETHNOLOGIST,AM ETHNOL,0094-0496,1548-1425,ANTHROPOLOGY - SSCI,3644,1.906,0.97,17.65%,31/93,2.979,Q1,1.797,0.342,37/135,Q2,72.96,0.003,0.713,1.822,67.2,Q2,Q1,38,100%,14.1,9.9,38
JMIR Research Protocols,JMIR RES PROTOC,1929-0748,1929-0748,HEALTH CARE SCIENCES & SERVICES - ESCI,3613,NA,0.58,99.53%,NA,NA,NA,NA,NA,98/159,Q3,38.68,0.008,1.762,0.609,NA,NA,Q1,507,91.32%,3.3,7.5,463
IET Communications,IET COMMUN,1751-8628,1751-8636,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",3608,1.345,0.39,19.48%,225/276,1.276,Q4,1.254,0.477,241/344,Q3,30.09,0.004,0.908,0.231,18.66,Q4,Q4,218,98.17%,4,4.8,214
JOURNAL OF TESTING AND EVALUATION,J TEST EVAL,0090-3973,1945-7553,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING - SCIE",3417,1.333,0.49,0%,23/32,1.267,Q4,1.25,0.712,20/37,Q3,47.3,0.002,0.521,0.202,29.69,Q3,Q3,302,97.68%,5.6,9.2,295
PHARMACOGENOMICS JOURNAL,PHARMACOGENOMICS J,1470-269X,1473-1150,GENETICS & HEREDITY - SCIE,3340,3.245,0.89,15.07%,96/175,3.478,Q3,3.166,0.625,58/191,Q2,69.9,0.003,0.613,0.74,45.43,Q3,Q3,56,89.29%,7.1,8.7,50
INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,INT J COMMUN SYST,1074-5351,1099-1131,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",3307,1.882,0.45,0.62%,189/276,1.592,Q3,1.714,0.581,202/344,Q3,41.42,0.003,0.742,0.232,31.7,Q3,Q4,351,98.29%,3,5.1,345
CTS-Clinical and Translational Science,CTS-CLIN TRANSL SCI,1752-8054,1752-8062,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",3304,4.516,0.87,83.49%,64/139,4.448,Q2,4.357,0.836,61/195,Q2,68.97,0.005,1.072,1.183,54.32,Q2,Q2,244,89.34%,3.4,7,218
TELECOMMUNICATIONS POLICY,TELECOMMUN POLICY,0308-5961,1879-3258,COMMUNICATION - SSCI,3209,4.497,1.38,7.87%,17/95,4.191,Q2,3.873,1.134,38/218,Q1,82.8,0.003,0.602,0.794,82.63,Q1,Q3,97,98.97%,5.8,6,96
EVALUATION AND PROGRAM PLANNING,EVAL PROGRAM PLANN,0149-7189,1873-7870,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI",3208,1.886,1.13,14.52%,59/112,2.065,Q3,1.782,0.478,66/264,Q1,75.19,0.003,0.605,0.533,47.77,Q3,Q3,90,97.78%,9.4,7.7,88
IRISH JOURNAL OF MEDICAL SCIENCE,IRISH J MED SCI,0021-1265,1863-4362,"MEDICINE, GENERAL & INTERNAL - SCIE",3137,2.089,0.41,11.52%,116/172,1.828,Q3,2.002,0.562,125/329,Q2,62.16,0.004,0.837,0.417,32.85,Q3,Q3,356,90.17%,3.9,6,321
China Communications,CHINA COMMUN,1673-5447,NA,TELECOMMUNICATIONS - SCIE,3130,3.17,0.72,0%,47/93,2.232,Q3,2.73,0.26,55/115,Q2,52.61,0.004,0.898,0.399,50,Q3,Q3,231,97.84%,3.4,4.6,226
Education Sciences,EDUC SCI,NA,2227-7102,EDUCATION & EDUCATIONAL RESEARCH - ESCI,3121,NA,1.21,96.68%,NA,NA,NA,NA,NA,182/743,Q1,75.57,0.004,0.886,0.434,NA,NA,Q1,786,92.37%,2,7.6,726
Journal of Small Business and Enterprise Development,J SMALL BUS ENTERP D,1462-6004,1758-7840,BUSINESS - ESCI,3069,NA,0.69,3.72%,NA,NA,NA,NA,NA,135/296,Q2,54.56,0.001,0.322,0.586,NA,NA,Q1,83,97.59%,8.5,10.6,81
Transactions on Emerging Telecommunications Technologies,T EMERG TELECOMMUN T,2161-3915,2161-3915,TELECOMMUNICATIONS - SCIE,3041,3.31,0.73,2.12%,44/93,2.457,Q3,2.686,0.991,54/115,Q2,53.48,0.003,0.703,0.331,53.23,Q2,Q3,225,98.22%,2,4,221
Annals of the American Association of Geographers,ANN AM ASSOC GEOGR,2469-4452,2469-4460,GEOGRAPHY - SSCI,2987,3.982,1.46,15.47%,19/86,4.557,Q2,3.749,0.645,14/167,Q1,91.92,0.009,1.953,1.505,78.49,Q1,Q1,121,100%,3.1,8.1,121
Journal of Personalized Medicine,J PERS MED,NA,2075-4426,HEALTH CARE SCIENCES & SERVICES - SCIE,2964,3.508,0.93,95.44%,42/109,4.005,Q2,3.138,0.773,47/159,Q1,70.75,0.003,0.714,0.852,61.93,Q2,Q3,1334,77.29%,1.5,6.1,NA
SADHANA-ACADEMY PROCEEDINGS IN ENGINEERING SCIENCES,SADHANA-ACAD P ENG S,0256-2499,0973-7677,"ENGINEERING, MULTIDISCIPLINARY - SCIE",2960,1.214,0.39,0.13%,75/92,1.347,Q4,1.157,0.372,88/175,Q3,50,0.002,0.409,0.193,19.02,Q4,Q4,226,98.67%,6,8.2,223
Annals of Medicine and Surgery,ANN MED SURG,2049-0801,2049-0801,"MEDICINE, GENERAL & INTERNAL - ESCI",2900,NA,0.46,99.59%,NA,NA,NA,NA,NA,113/329,Q2,65.81,0.004,0.926,0.402,NA,NA,Q1,1060,85.09%,2.2,7.3,902
Frontiers in Sustainable Food Systems,FRONT SUSTAIN FOOD S,NA,2571-581X,FOOD SCIENCE & TECHNOLOGY - SCIE,2897,5.005,0.82,99.55%,41/144,5.49,Q2,4.704,0.838,52/165,Q2,68.79,0.004,0.799,0.872,71.88,Q2,Q1,507,74.16%,2,7,376
Big Data & Society,BIG DATA SOC,2053-9517,2053-9517,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI",2893,8.731,3.68,97.08%,1/112,10.512,Q1,7.688,1.09,3/264,Q1,99.05,0.008,1.692,3.823,99.55,Q1,Q1,78,98.72%,4.5,4.5,77
Journal of Civil Engineering and Management,J CIV ENG MANAG,1392-3730,1822-3605,"ENGINEERING, CIVIL - SCIE",2786,3.714,0.72,98.19%,50/138,3.556,Q2,3.412,0.766,63/175,Q2,64.29,0.002,0.359,0.462,64.13,Q2,Q2,47,91.49%,6,7.1,43
Information Technology & People,INFORM TECHNOL PEOPL,0959-3845,1758-5813,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,2636,4.481,1.29,2.35%,24/84,4.654,Q2,3.712,0.633,30/164,Q1,82.01,0.002,0.495,0.705,72.02,Q2,Q2,128,99.22%,4,8.5,127
Journal of Forensic and Legal Medicine,J FORENSIC LEG MED,1752-928X,1532-2009,"MEDICINE, LEGAL - SCIE",2608,1.691,0.74,5.61%,12/17,1.786,Q3,1.541,0.308,11/23,Q2,54.35,0.003,0.576,0.412,32.35,Q3,Q3,133,84.96%,6.2,9.4,113
World Journal of Pediatrics,WORLD J PEDIATR,1708-8569,1867-0687,PEDIATRICS - SCIE,2565,9.186,2.12,11.74%,5/130,4.925,Q1,9.048,0.794,7/184,Q1,96.47,0.004,0.849,1.116,96.54,Q1,Q1,68,77.94%,2.6,5.6,53
INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION,INT J PUBLIC ADMIN,0190-0692,1532-4265,PUBLIC ADMINISTRATION - ESCI,2554,NA,0.76,7.19%,NA,NA,NA,NA,NA,40/85,Q2,53.53,0.003,0.545,0.488,NA,NA,Q1,208,98.08%,6.4,10.3,204
IEEE Transactions on Cognitive Communications and Networking,IEEE T COGN COMMUN,2332-7731,2332-7731,TELECOMMUNICATIONS - SCIE,2474,6.359,1.47,12.21%,12/93,NA,NA,6.045,1.905,19/115,Q1,83.91,0.005,1.054,NA,87.63,Q1,NA,105,100%,2.6,4.3,105
IEEE Industrial Electronics Magazine,IEEE IND ELECTRON M,1932-4529,1941-0115,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",2443,8.36,2.21,0%,25/276,11.806,Q1,7.94,0.93,17/344,Q1,95.2,0.002,0.532,2.803,91.12,Q1,Q1,57,96.49%,6.4,5.6,55
Social Sciences-Basel,SOC SCI-BASEL,NA,2076-0760,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI",2429,NA,1.07,96.27%,NA,NA,NA,NA,NA,74/264,Q2,72.16,0.005,1.051,NA,NA,NA,NA,467,94.65%,2.7,7.6,442
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,CMES-COMP MODEL ENG,1526-1492,1526-1506,"ENGINEERING, MULTIDISCIPLINARY - SCIE",2367,2.027,0.65,98.86%,52/92,1.764,Q3,1.688,0.785,59/175,Q2,66.57,0.001,0.293,0.28,44.02,Q3,Q3,247,97.17%,7.1,5.7,240
Water Policy,WATER POLICY,1366-7017,1996-9759,WATER RESOURCES - SCIE,2277,1.733,0.43,56.6%,83/100,1.741,Q4,1.491,0.244,87/124,Q3,30.24,0.001,0.248,0.287,17.5,Q4,Q4,123,95.12%,8.4,7.4,117
Global Business Review,GLOB BUS REV,0972-1509,0973-0664,BUSINESS - ESCI,2267,NA,0.42,1.64%,NA,NA,NA,NA,NA,202/296,Q3,31.93,0.002,0.332,0.24,NA,NA,Q3,206,98.54%,3.9,10.5,203
CSEE Journal of Power and Energy Systems,CSEE J POWER ENERGY,2096-0042,2096-0042,ENERGY & FUELS - SCIE,2263,6.014,0.89,98.88%,47/119,5.83,Q2,5.196,1.603,59/145,Q2,59.66,0.004,0.777,1.269,60.92,Q2,Q1,121,95.87%,3,5.5,116
JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH,J SCI IND RES INDIA,0022-4456,0975-1084,"ENGINEERING, MULTIDISCIPLINARY - SCIE",2262,0.555,0.27,0%,86/92,0.601,Q4,0.512,0.179,107/175,Q3,39.14,0,0.08,0.057,7.07,Q4,Q4,123,100%,12.6,6.9,123
One Earth,ONE EARTH,2590-3330,2590-3322,ENVIRONMENTAL SCIENCES - SCIE,2215,14.944,1.7,55.69%,7/279,14.952,Q1,14.435,2.943,17/325,Q1,94.92,0.005,1.037,4.098,97.67,Q1,Q1,122,84.43%,1.6,5,103
POLITICS & SOCIETY,POLIT SOC,0032-3292,1552-7514,POLITICAL SCIENCE - SSCI,2153,2.26,1.16,14.29%,79/188,3.386,Q2,2.2,1.037,81/307,Q2,73.78,0.002,0.464,1.996,58.24,Q2,Q1,27,100%,12.9,9,27
TELECOMMUNICATION SYSTEMS,TELECOMMUN SYST,1018-4864,1572-9451,TELECOMMUNICATIONS - SCIE,2132,2.336,0.53,3.11%,60/93,1.927,Q3,2.203,0.591,68/115,Q3,41.3,0.002,0.403,0.273,36.02,Q3,Q3,115,97.39%,4.1,5,112
IEEE SPECTRUM,IEEE SPECTRUM,0018-9235,1939-9340,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",2089,3.578,0.4,0%,101/276,2.937,Q2,3.578,0.579,235/344,Q3,31.83,0.002,0.52,0.842,63.59,Q2,Q2,57,100%,7.6,NA,57
Nature Food,NAT FOOD,NA,2662-1355,FOOD SCIENCE & TECHNOLOGY - SCIE,2043,20.961,3.09,3.98%,1/144,20.974,Q1,20.26,4.172,1/165,Q1,99.7,0.004,0.834,5.309,99.65,Q1,Q1,99,91.92%,1.4,4.9,91
Journal of Public Affairs,J PUBLIC AFF,1472-3891,1479-1854,PUBLIC ADMINISTRATION - ESCI,1943,NA,0.64,4.06%,NA,NA,NA,NA,NA,46/85,Q3,46.47,0.002,0.477,0.297,NA,NA,Q2,197,99.49%,1.7,8.4,196
Physical Communication,PHYS COMMUN-AMST,1874-4907,1874-4907,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",1920,2.379,0.61,1.64%,157/276,1.968,Q3,2.008,0.797,166/344,Q2,51.89,0.002,0.428,0.309,43.3,Q3,Q3,236,97.03%,2.7,4.4,229
IETE JOURNAL OF RESEARCH,IETE J RES,0377-2063,0974-780X,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",1840,1.877,0.34,0.1%,190/276,1.73,Q3,1.597,0.411,254/344,Q3,26.31,0.001,0.302,0.212,31.34,Q3,Q4,548,93.61%,2.6,6.9,513
Policy and Society,POLICY SOC,1449-4035,1839-3373,POLITICAL SCIENCE - SSCI,1796,10.104,3.34,98.92%,2/188,7.344,Q1,9.806,0.962,5/307,Q1,98.53,0.003,0.733,2.332,99.2,Q1,Q1,26,100%,4.3,8.9,26
GROWTH AND CHANGE,GROWTH CHANGE,0017-4815,1468-2257,DEVELOPMENT STUDIES - SSCI,1778,2.704,0.67,10.38%,17/42,2.332,Q3,2.408,0.554,28/60,Q2,54.17,0.001,0.276,0.454,60.71,Q2,Q4,139,100%,8,7.9,139
Journal of Engineering Science and Technology,J ENG SCI TECHNOL,NA,1823-4690,"ENGINEERING, MULTIDISCIPLINARY - ESCI",1764,NA,0.23,0%,NA,NA,NA,NA,NA,120/175,Q3,31.71,0.001,0.229,0.077,NA,NA,Q3,420,98.81%,4.6,5.8,415
Cogent Business & Management,COGENT BUS MANAG,2331-1975,2331-1975,BUSINESS - ESCI,1762,NA,0.42,99.84%,NA,NA,NA,NA,NA,202/296,Q3,31.93,0.002,0.369,0.264,NA,NA,Q2,231,92.64%,2.7,9,214
Indian Journal of Surgery,INDIAN J SURG,0972-2068,0973-9793,SURGERY - SCIE,1759,0.437,0.16,4.75%,208/213,0.609,Q4,0.381,0.128,251/282,Q4,11.17,0.001,0.245,0.12,2.58,Q4,Q4,421,86.46%,6.5,9.5,364
International Journal of Renewable Energy Research,INT J RENEW ENERGY R,NA,1309-0127,ENERGY & FUELS - ESCI,1721,NA,0.19,0%,NA,NA,NA,NA,NA,125/145,Q4,14.14,0.001,0.278,0.133,NA,NA,Q4,170,94.71%,4.3,5,161
Development Policy Review,DEV POLICY REV,0950-6764,1467-7679,DEVELOPMENT STUDIES - SSCI,1714,1.49,0.58,20.69%,37/42,1.766,Q4,1.372,0.414,32/60,Q3,47.5,0.002,0.356,0.518,13.1,Q4,Q4,58,96.55%,9,8,56
Scientific African,SCI AFR,2468-2276,2468-2276,MULTIDISCIPLINARY SCIENCES - ESCI,1632,NA,0.45,99.37%,NA,NA,NA,NA,NA,55/135,Q2,59.63,0.002,0.391,0.33,NA,NA,Q1,376,95.48%,1.6,8.4,359
Tehnicki Vjesnik-Technical Gazette,TEH VJESN,1330-3651,1848-6339,"ENGINEERING, MULTIDISCIPLINARY - SCIE",1615,0.864,0.28,99.63%,83/92,0.789,Q4,0.789,0.14,104/175,Q3,40.86,0.001,0.314,0.109,10.33,Q4,Q4,279,96.42%,4,7.6,269
Vehicular Communications,VEH COMMUN,2214-2096,2214-2096,TELECOMMUNICATIONS - SCIE,1608,8.373,1.52,3.85%,8/93,7.134,Q1,7.4,1.296,18/115,Q1,84.78,0.002,0.375,1.028,91.94,Q1,Q1,81,96.3%,3.2,4.4,78
Aerospace,AEROSPACE-BASEL,NA,2226-4310,"ENGINEERING, AEROSPACE - SCIE",1607,2.66,0.92,95.91%,8/34,2.579,Q2,2.03,0.529,10/50,Q1,81,0.002,0.478,0.445,77.94,Q1,Q2,384,95.31%,2.4,8,366
Sustainable Energy Grids & Networks,SUSTAIN ENERGY GRIDS,2352-4677,2352-4677,ENERGY & FUELS - SCIE,1601,5.405,0.94,8.13%,53/119,4.813,Q3,4.809,1.237,54/145,Q2,63.1,0.002,0.452,0.796,55.88,Q2,Q2,152,100%,2.6,4.8,152
Asia-Pacific Journal of Ophthalmology,ASIA-PAC J OPHTHALMO,NA,2162-0989,OPHTHALMOLOGY - SCIE,1597,4.206,0.89,95.59%,16/62,3.91,Q2,3.551,0.75,31/94,Q2,67.55,0.003,0.649,0.924,75,Q2,Q2,68,44.12%,3.8,5.2,30
Journal of Imaging,J IMAGING,NA,2313-433X,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - ESCI,1594,NA,0.56,96.37%,NA,NA,NA,NA,NA,17/31,Q3,46.77,0.002,0.536,0.557,NA,NA,Q2,270,92.59%,2.9,5.9,250
IEEE Transactions on Green Communications and Networking,IEEE T GREEN COMMUN,2473-2400,2473-2400,TELECOMMUNICATIONS - SCIE,1581,3.525,1.04,5.54%,40/93,4.415,Q1,3.088,1.173,36/115,Q2,69.13,0.003,0.661,1.035,57.53,Q2,Q1,162,100%,2.9,4.5,162
Manufacturing Letters,MANUF LETT,2213-8463,2213-8463,"ENGINEERING, MANUFACTURING - ESCI",1565,NA,0.79,6.32%,NA,NA,NA,NA,NA,24/63,Q2,62.7,0.002,0.34,NA,NA,NA,NA,67,100%,3.4,5.3,67
European Transport Research Review,EUR TRANSP RES REV,1867-0717,1866-8887,TRANSPORTATION - SSCI,1540,3.817,0.77,100%,21/37,3.914,Q3,3.706,2.115,25/50,Q2,51,0.002,0.351,0.704,44.59,Q3,Q3,61,86.89%,4,5.6,53
International Journal of System Assurance Engineering and Management,INT J SYST ASSUR ENG,0975-6809,0976-4348,"ENGINEERING, MULTIDISCIPLINARY - ESCI",1523,NA,0.53,2.23%,NA,NA,NA,NA,NA,67/175,Q2,62,0.001,0.28,0.19,NA,NA,Q1,428,96.96%,3.8,5,415
Heritage Science,HERIT SCI,2050-7445,2050-7445,"CHEMISTRY, ANALYTICAL - SCIE",1514,2.843,2.33,99.73%,48/87,2.9,Q3,2.373,0.617,2/99,Q1,98.48,0.002,0.468,0.603,45.4,Q3,Q2,149,97.32%,3.2,9.5,145
IEICE TRANSACTIONS ON COMMUNICATIONS,IEICE T COMMUN,0916-8516,1745-1345,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",1511,0.598,0.16,0%,262/276,0.52,Q4,0.47,0.256,311/344,Q4,9.74,0.001,0.207,0.089,5.25,Q4,Q4,156,100%,6.8,7.1,156
Computer Law & Security Review,COMPUT LAW SECUR REV,0267-3649,0267-3649,LAW - SSCI,1459,2.707,3.16,18.33%,20/155,2.807,Q1,2.448,0.609,6/417,Q1,98.68,0.002,0.535,0.778,87.42,Q1,Q2,64,100%,4.1,4.6,64
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,AIRCR ENG AEROSP TEC,1748-8842,1758-4213,"ENGINEERING, AEROSPACE - SCIE",1450,1.478,0.5,1.34%,22/34,1.293,Q4,1.08,0.344,25/50,Q2,51,0.001,0.234,0.178,36.76,Q3,Q4,212,98.11%,4.3,7.4,208
MODERN LAW REVIEW,MOD LAW REV,0026-7961,1468-2230,LAW - SSCI,1441,1.54,1.75,22.4%,69/155,1.637,Q2,1.451,0.1,44/417,Q1,89.57,0.002,0.384,0.794,55.81,Q2,Q2,70,90%,13.4,8.5,63
Journal of Electronics & Information Technology,J ELECTRON INF TECHN,1009-5896,1009-5896,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI",1408,NA,0.18,0%,NA,NA,NA,NA,NA,306/344,Q4,11.19,0.001,0.111,NA,NA,NA,NA,415,98.8%,3,5,410
IEEJ Transactions on Electrical and Electronic Engineering,IEEJ T ELECTR ELECTR,1931-4973,1931-4981,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",1385,0.923,0.22,0%,248/276,0.856,Q4,0.848,0.149,290/344,Q4,15.84,0.001,0.321,0.149,10.33,Q4,Q4,222,96.85%,3.9,7.3,215
Frontiers in Education,FRONT EDUC,NA,2504-284X,EDUCATION & EDUCATIONAL RESEARCH - ESCI,1368,NA,0.89,99.03%,NA,NA,NA,NA,NA,281/743,Q2,62.25,0.003,0.615,NA,NA,NA,NA,516,90.5%,2.3,8.4,467
Convergence-The International Journal of Research into New Media Technologies,CONVERGENCE-US,1354-8565,1748-7382,COMMUNICATION - SSCI,1364,2.268,1.22,18.93%,58/95,2.576,Q3,2.077,0.381,45/218,Q1,79.59,0.003,0.586,0.945,39.47,Q3,Q3,97,100%,4.7,6.6,97
Digital Communications and Networks,DIGIT COMMUN NETW,2468-5925,2352-8648,TELECOMMUNICATIONS - SCIE,1355,6.348,1.66,100%,14/93,6.659,Q1,6.109,1.7,14/115,Q1,88.26,0.002,0.377,1.051,85.48,Q1,Q1,60,95%,2.9,6,57
EPJ Data Science,EPJ DATA SCI,NA,2193-1127,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE",1341,3.63,1.35,99.22%,17/108,5.147,Q1,3.479,1.196,13/132,Q1,90.53,0.003,0.637,1.698,84.72,Q1,Q1,56,100%,4.5,7.1,56
Frontiers in Built Environment,FRONT BUILT ENVIRON,NA,2297-3362,CONSTRUCTION & BUILDING TECHNOLOGY - ESCI,1302,NA,0.48,100%,NA,NA,NA,NA,NA,43/89,Q2,52.25,0.002,0.461,NA,NA,NA,NA,156,91.67%,2.4,6.5,143
Journal of Engineering Design and Technology,J ENG DES TECHNOL,1726-0531,1726-0531,"ENGINEERING, MULTIDISCIPLINARY - ESCI",1298,NA,0.68,0.23%,NA,NA,NA,NA,NA,57/175,Q2,67.71,0.001,0.164,0.212,NA,NA,Q1,203,93.6%,2.7,6.7,190
SCIENCE PROGRESS,SCI PROGRESS-UK,0036-8504,2047-7163,MULTIDISCIPLINARY SCIENCES - SCIE,1295,1.512,0.63,94.64%,50/74,2.051,Q3,1.443,0.465,42/135,Q2,69.26,0.001,0.177,0.341,33.11,Q3,Q3,284,92.61%,5.9,6.8,263
Journal of Hospitality and Tourism Technology,J HOSP TOUR TECHNOL,1757-9880,1757-9899,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",1285,5.576,0.95,2.24%,20/58,5.54,Q2,4.576,0.898,38/132,Q2,71.59,0.001,0.251,0.756,66.38,Q2,Q2,49,87.76%,3.7,7.1,43
Drones,DRONES-BASEL,NA,2504-446X,REMOTE SENSING - SCIE,1268,5.532,0.94,97.04%,10/34,5.532,Q2,4.848,0.897,18/57,Q2,69.3,0.002,0.372,0.89,72.06,Q2,Q2,146,95.21%,2.3,4.8,139
INTERCIENCIA,INTERCIENCIA,0378-1844,0378-1844,ECOLOGY - SCIE,1223,0.396,0.09,0%,171/173,0.498,Q4,0.346,0.127,183/189,Q4,3.44,0,0.103,0.099,1.45,Q4,Q4,55,98.18%,11.9,8.9,54
SOUTH ATLANTIC QUARTERLY,S ATL Q,0038-2876,1527-8026,CULTURAL STUDIES - AHCI,1202,1.763,11.49,0%,NA,1.618,NA,1.731,0.339,1/56,Q1,99.11,0.003,0.685,1.365,NA,NA,Q1,59,100%,8.4,5.4,59
